Season,Covid,State,WeekTime,Time,ElectricityDemand,RegionalReferencePrice
Autumn,No,Queensland,Weekend,23:00:00,6094.325229357798,69.36577981651376
Autumn,No,Queensland,Weekend,23:30:00,5924.84110091743,66.77963302752293
Autumn,No,South Australia,Weekday,00:00:00,1487.9791970802917,118.00354014598531
Autumn,No,South Australia,Weekday,00:30:00,1399.9232846715329,78.9211313868613
Autumn,No,South Australia,Weekday,01:00:00,1331.0897445255473,74.32489051094886
Autumn,No,South Australia,Weekday,01:30:00,1249.7918978102186,66.57211678832114
Autumn,No,South Australia,Weekday,02:00:00,1187.2147080291973,64.23295620437956
Autumn,No,South Australia,Weekday,02:30:00,1149.404963503649,59.0591605839416
Autumn,No,South Australia,Weekday,03:00:00,1127.302518248175,56.33313868613136
Autumn,No,South Australia,Weekday,03:30:00,1102.962481751824,54.53624087591237
Autumn,No,South Australia,Weekday,04:00:00,1089.9840875912407,51.52722627737224
Autumn,No,South Australia,Weekday,04:30:00,1087.0334306569334,55.19354014598545
Autumn,No,South Australia,Weekday,05:00:00,1100.7843065693432,59.521204379562036
Autumn,No,South Australia,Weekday,05:30:00,1125.050620437957,70.64000000000003
Autumn,No,South Australia,Weekday,06:00:00,1177.704051094891,78.03839416058398
Autumn,No,South Australia,Weekday,06:30:00,1235.2964598540152,95.01160583941609
Autumn,No,South Australia,Weekday,07:00:00,1327.5579562043795,126.79956204379567
Autumn,No,South Australia,Weekday,07:30:00,1382.743613138686,107.35554744525545
Autumn,No,South Australia,Weekday,08:00:00,1407.5002919708027,118.33229927007295
Autumn,No,South Australia,Weekday,08:30:00,1420.506423357665,111.84835766423362
Autumn,No,South Australia,Weekday,09:00:00,1401.522773722627,106.4366058394161
Autumn,No,South Australia,Weekday,09:30:00,1362.0288686131375,100.04222627737222
Autumn,No,South Australia,Weekday,10:00:00,1321.8763503649636,94.28295620437946
Autumn,No,South Australia,Weekday,10:30:00,1281.282846715328,92.10923357664234
Autumn,No,South Australia,Weekday,11:00:00,1251.2743430656938,101.60817518248172
Autumn,No,South Australia,Weekday,11:30:00,1232.8935036496346,103.73010948905113
Autumn,No,South Australia,Weekday,12:00:00,1224.65682481752,106.03569343065699
Autumn,No,South Australia,Weekday,12:30:00,1224.5311678832115,97.15642335766417
Autumn,No,South Australia,Weekday,13:00:00,1227.5884306569342,102.86521897810219
Autumn,No,South Australia,Weekday,13:30:00,1230.5379197080283,98.82872262773722
Autumn,No,South Australia,Weekday,14:00:00,1242.526678832117,113.16288321167877
Autumn,No,South Australia,Weekday,14:30:00,1256.3193065693447,119.93956204379558
Autumn,No,South Australia,Weekday,15:00:00,1274.0605109489045,103.687700729927
Autumn,No,South Australia,Weekday,15:30:00,1307.5734671532844,144.21332116788324
Autumn,No,South Australia,Weekday,16:00:00,1347.1161678832125,122.11905109489055
Autumn,No,South Australia,Weekday,16:30:00,1398.9376277372264,150.75014598540133
Autumn,No,South Australia,Weekday,17:00:00,1456.845364963503,157.26270072992693
Autumn,No,South Australia,Weekday,17:30:00,1519.7799635036495,122.19306569343064
Autumn,No,South Australia,Weekday,18:00:00,1580.2839781021896,134.69288321167883
Autumn,No,South Australia,Weekday,18:30:00,1633.1113138686137,144.3214233576643
Autumn,No,South Australia,Weekday,19:00:00,1646.0276277372257,133.92653284671533
Autumn,No,South Australia,Weekday,19:30:00,1632.9543430656934,106.24901459854017
Autumn,No,South Australia,Weekday,20:00:00,1600.3278832116782,97.3168248175183
Autumn,No,South Australia,Weekday,20:30:00,1559.871277372262,95.07083941605833
Autumn,No,South Australia,Weekday,21:00:00,1515.5795255474466,89.99120437956206
Autumn,No,South Australia,Weekday,21:30:00,1470.8899635036507,84.8318613138686
Autumn,No,South Australia,Weekday,22:00:00,1422.7853284671535,77.88970802919711
Autumn,No,South Australia,Weekday,22:30:00,1371.9247810218976,88.93536496350359
Autumn,No,South Australia,Weekday,23:00:00,1333.1035401459862,77.58405109489046
Autumn,No,South Australia,Weekday,23:30:00,1313.9905839416056,85.58467153284673
Autumn,No,South Australia,Weekend,00:00:00,1464.9344954128444,96.81165137614686
Autumn,No,South Australia,Weekend,00:30:00,1370.8502752293577,80.27550458715595
Autumn,No,South Australia,Weekend,01:00:00,1302.668440366973,76.48100917431194
Autumn,No,South Australia,Weekend,01:30:00,1219.5687155963305,68.57431192660549
Autumn,No,South Australia,Weekend,02:00:00,1155.4845871559633,65.66642201834861
Autumn,No,South Australia,Weekend,02:30:00,1114.583486238532,60.79201834862383
Autumn,No,South Australia,Weekend,03:00:00,1091.1924770642202,58.046238532110074
Autumn,No,South Australia,Weekend,03:30:00,1067.04119266055,55.74944954128442
Autumn,No,South Australia,Weekend,04:00:00,1052.942293577982,51.838165137614666
Autumn,No,South Australia,Weekend,04:30:00,1043.657431192661,54.03247706422021
Autumn,No,South Australia,Weekend,05:00:00,1043.971009174312,53.074495412844044
Autumn,No,South Australia,Weekend,05:30:00,1045.231834862385,55.69688073394492
Autumn,No,South Australia,Weekend,06:00:00,1060.371834862385,57.578990825688074
Autumn,No,South Australia,Weekend,06:30:00,1075.9628440366973,62.58724770642202
Autumn,No,South Australia,Weekend,07:00:00,1105.5306422018348,69.61155963302753
Autumn,No,South Australia,Weekend,07:30:00,1121.1640366972476,69.72119266055044
Autumn,No,South Australia,Weekend,08:00:00,1123.3688073394492,74.93697247706422
Autumn,No,South Australia,Weekend,08:30:00,1128.5222018348625,78.22201834862385
Autumn,No,South Australia,Weekend,09:00:00,1121.9411009174307,80.58357798165136
Autumn,No,South Australia,Weekend,09:30:00,1100.494128440367,82.9516513761468
Autumn,No,South Australia,Weekend,10:00:00,1072.8029357798166,72.42431192660551
Autumn,No,South Australia,Weekend,10:30:00,1044.3751376146793,68.30137614678898
Autumn,No,South Australia,Weekend,11:00:00,1024.4811926605503,60.10256880733945
Autumn,No,South Australia,Weekend,11:30:00,1009.1774311926604,63.38229357798166
Autumn,No,South Australia,Weekend,12:00:00,1006.4380733944955,63.63192660550459
Autumn,No,South Australia,Weekend,12:30:00,1003.9954128440367,64.50614678899083
Autumn,No,South Australia,Weekend,13:00:00,1003.4480733944953,65.78541284403671
Autumn,No,South Australia,Weekend,13:30:00,1007.9144036697248,64.73045871559636
Autumn,No,South Australia,Weekend,14:00:00,1022.1782568807342,68.05550458715598
Autumn,No,South Australia,Weekend,14:30:00,1032.882844036697,71.14174311926608
Autumn,No,South Australia,Weekend,15:00:00,1056.359633027523,75.90220183486241
Autumn,No,South Australia,Weekend,15:30:00,1095.8857798165131,78.6961467889908
Autumn,No,South Australia,Weekend,16:00:00,1140.6707339449542,85.08165137614682
Autumn,No,South Australia,Weekend,16:30:00,1199.386605504587,88.28027522935784
Autumn,No,South Australia,Weekend,17:00:00,1262.5625688073394,99.15834862385316
Autumn,No,South Australia,Weekend,17:30:00,1338.7477981651377,99.35871559633021
Autumn,No,South Australia,Weekend,18:00:00,1402.3870642201832,110.68348623853213
Autumn,No,South Australia,Weekend,18:30:00,1457.7719266055053,113.90697247706427
Autumn,No,South Australia,Weekend,19:00:00,1474.8922018348628,99.26541284403676
Autumn,No,South Australia,Weekend,19:30:00,1456.5295412844036,89.26366972477068
Autumn,No,South Australia,Weekend,20:00:00,1428.3356880733938,86.44605504587156
Autumn,No,South Australia,Weekend,20:30:00,1392.7043119266057,85.6555963302752
Autumn,No,South Australia,Weekend,21:00:00,1355.8552293577982,79.451376146789
Autumn,No,South Australia,Weekend,21:30:00,1324.415779816514,75.83275229357798
Autumn,No,South Australia,Weekend,22:00:00,1291.2009174311931,68.77458715596332
Autumn,No,South Australia,Weekend,22:30:00,1254.274495412844,71.18688073394495
Autumn,No,South Australia,Weekend,23:00:00,1231.5327522935781,68.61100917431192
Autumn,No,South Australia,Weekend,23:30:00,1222.609357798165,77.70963302752295
Autumn,No,Tasmania,Weekday,00:00:00,964.0345620437953,109.69671532846715
Autumn,No,Tasmania,Weekday,00:30:00,949.5713868613138,107.67430656934306
Autumn,No,Tasmania,Weekday,01:00:00,939.8214233576649,120.86277372262785
Autumn,No,Tasmania,Weekday,01:30:00,933.6700000000001,108.65474452554747
Autumn,No,Tasmania,Weekday,02:00:00,929.3711313868616,107.12916058394173
Autumn,No,Tasmania,Weekday,02:30:00,926.3543065693428,107.91967153284676
Autumn,No,Tasmania,Weekday,03:00:00,927.483759124088,111.69897810218988
Autumn,No,Tasmania,Weekday,03:30:00,930.6111678832115,112.4965693430658
Autumn,No,Tasmania,Weekday,04:00:00,935.2014963503649,113.38554744525548
Autumn,No,Tasmania,Weekday,04:30:00,945.8962773722627,121.00470802919709
Autumn,No,Tasmania,Weekday,05:00:00,961.9226277372269,127.30412408759133
Autumn,No,Tasmania,Weekday,05:30:00,999.4727007299268,130.2691605839417
Autumn,No,Tasmania,Weekday,06:00:00,1044.7470437956201,129.98094890510953
Autumn,No,Tasmania,Weekday,06:30:00,1108.6547810218979,131.0156204379562
Autumn,No,Tasmania,Weekday,07:00:00,1167.6125182481749,147.72043795620436
Autumn,No,Tasmania,Weekday,07:30:00,1209.1736496350359,131.52328467153288
Autumn,No,Tasmania,Weekday,08:00:00,1222.6257664233576,132.4178832116788
Autumn,No,Tasmania,Weekday,08:30:00,1211.0370802919708,124.84065693430651
Autumn,No,Tasmania,Weekday,09:00:00,1182.4095620437956,129.0348540145986
Autumn,No,Tasmania,Weekday,09:30:00,1157.045547445255,132.57171532846712
Autumn,No,Tasmania,Weekday,10:00:00,1130.4216058394163,134.79766423357668
Autumn,No,Tasmania,Weekday,10:30:00,1108.0831751824817,129.72934306569346
Autumn,No,Tasmania,Weekday,11:00:00,1090.751642335766,125.81273722627743
Autumn,No,Tasmania,Weekday,11:30:00,1076.9589416058395,124.43445255474445
Autumn,No,Tasmania,Weekday,12:00:00,1066.747518248175,133.50419708029202
Autumn,No,Tasmania,Weekday,12:30:00,1060.7222992700736,113.50401459854025
Autumn,No,Tasmania,Weekday,13:00:00,1055.319489051095,114.85233576642342
Autumn,No,Tasmania,Weekday,13:30:00,1052.5067518248181,110.55091240875916
Autumn,No,Tasmania,Weekday,14:00:00,1050.7302554744529,109.72368613138694
Autumn,No,Tasmania,Weekday,14:30:00,1057.9177007299268,110.03846715328467
Autumn,No,Tasmania,Weekday,15:00:00,1061.052591240876,112.7095985401459
Autumn,No,Tasmania,Weekday,15:30:00,1071.6888321167885,110.83828467153292
Autumn,No,Tasmania,Weekday,16:00:00,1089.7726277372265,113.82751824817522
Autumn,No,Tasmania,Weekday,16:30:00,1112.1925547445248,113.3926642335767
Autumn,No,Tasmania,Weekday,17:00:00,1148.2387591240872,115.2929927007299
Autumn,No,Tasmania,Weekday,17:30:00,1184.826459854015,116.13591240875917
Autumn,No,Tasmania,Weekday,18:00:00,1214.65605839416,124.26062043795613
Autumn,No,Tasmania,Weekday,18:30:00,1220.0418248175179,121.7714598540147
Autumn,No,Tasmania,Weekday,19:00:00,1218.0354744525541,119.21434306569341
Autumn,No,Tasmania,Weekday,19:30:00,1201.5513138686133,113.84014598540153
Autumn,No,Tasmania,Weekday,20:00:00,1182.6606934306574,114.83810218978098
Autumn,No,Tasmania,Weekday,20:30:00,1163.7022262773717,117.28875912408765
Autumn,No,Tasmania,Weekday,21:00:00,1135.5685036496343,112.06514598540147
